structure,Eigengene,Metric,n
Accumbens,Eigengene_4,rtpp_RAS_060622_mean,1
Accumbens,Eigengene_4,volume_percentage_mean,1
Accumbens,Eigengene_5,b0_mean,1
Accumbens,Eigengene_5,mrtrixad_mean,1
Accumbens,Eigengene_5,mrtrixmd_mean,1
Accumbens,Eigengene_5,mrtrixrd_mean,1
Accumbens,Eigengene_5,msd_RAS_060622_mean,1
Accumbens,Eigengene_5,ng_RAS_060622_mean,1
Accumbens,Eigengene_5,qiv_RAS_060622_mean,1
Accumbens,Eigengene_5,rtap_RAS_060622_mean,1
Accumbens,Eigengene_5,rtop_RAS_060622_mean,1
Accumbens,Eigengene_5,rtpp_RAS_060622_mean,1
Accumbens,Eigengene_5,volume_mm3,1
Accumbens,Eigengene_5,volume_percentage_mean,1
Accumbens,Eigengene_6,mrtrixad_mean,1
Accumbens,Eigengene_6,mrtrixfa_mean,1
Accumbens,Eigengene_6,mrtrixmd_mean,1
Accumbens,Eigengene_6,mrtrixrd_mean,1
Accumbens,Eigengene_6,rd_mean,1
Accumbens,Eigengene_7,msd_RAS_060622_mean,1
Accumbens,Eigengene_7,ng_RAS_060622_mean,1
Accumbens,Eigengene_7,qiv_RAS_060622_mean,1
Accumbens,Eigengene_7,rtap_RAS_060622_mean,1
Accumbens,Eigengene_7,rtop_RAS_060622_mean,1
Accumbens,Eigengene_7,rtpp_RAS_060622_mean,1
Accumbens,Eigengene_7,volume_mm3,1
Accumbens,Eigengene_7,volume_percentage_mean,1
Accumbens,Eigengene_8,mrtrixad_mean,1
Accumbens,Eigengene_8,mrtrixfa_mean,1
Accumbens,Eigengene_8,mrtrixmd_mean,1
Accumbens,Eigengene_8,mrtrixrd_mean,1
Accumbens,Eigengene_8,msd_RAS_060622_mean,1
Accumbens,Eigengene_8,ng_RAS_060622_mean,1
Accumbens,Eigengene_8,qiv_RAS_060622_mean,1
Accumbens,Eigengene_8,rd_mean,1
Accumbens,Eigengene_8,rtap_RAS_060622_mean,1
Accumbens,Eigengene_8,rtop_RAS_060622_mean,1
Accumbens,Eigengene_8,rtpp_RAS_060622_mean,1
Accumbens,Eigengene_8,volume_mm3,1
Accumbens,Eigengene_8,volume_percentage_mean,1
Amygdala,Eigengene_1,b0_mean,1
Amygdala,Eigengene_1,mrtrixfa_mean,1
Amygdala,Eigengene_1,msd_RAS_060622_mean,1
Amygdala,Eigengene_1,ng_RAS_060622_mean,1
Amygdala,Eigengene_1,qiv_RAS_060622_mean,1
Amygdala,Eigengene_1,rd_mean,1
Amygdala,Eigengene_1,rtap_RAS_060622_mean,1
Amygdala,Eigengene_1,rtop_RAS_060622_mean,1
Amygdala,Eigengene_1,rtpp_RAS_060622_mean,1
Amygdala,Eigengene_10,msd_RAS_060622_mean,1
Amygdala,Eigengene_10,ng_RAS_060622_mean,1
Amygdala,Eigengene_10,qiv_RAS_060622_mean,1
Amygdala,Eigengene_10,rtap_RAS_060622_mean,1
Amygdala,Eigengene_10,rtop_RAS_060622_mean,1
Amygdala,Eigengene_10,rtpp_RAS_060622_mean,1
Amygdala,Eigengene_10,volume_mm3,1
Amygdala,Eigengene_2,b0_mean,1
Amygdala,Eigengene_2,mrtrixfa_mean,1
Amygdala,Eigengene_2,msd_RAS_060622_mean,1
Amygdala,Eigengene_2,ng_RAS_060622_mean,1
Amygdala,Eigengene_2,qiv_RAS_060622_mean,1
Amygdala,Eigengene_2,rd_mean,1
Amygdala,Eigengene_2,rtap_RAS_060622_mean,1
Amygdala,Eigengene_2,rtop_RAS_060622_mean,1
Amygdala,Eigengene_2,rtpp_RAS_060622_mean,1
Amygdala,Eigengene_2,volume_mm3,1
Amygdala,Eigengene_2,volume_percentage_mean,1
Amygdala,Eigengene_3,b0_mean,1
Amygdala,Eigengene_3,mrtrixad_mean,1
Amygdala,Eigengene_3,mrtrixmd_mean,1
Amygdala,Eigengene_3,mrtrixrd_mean,1
Amygdala,Eigengene_3,msd_RAS_060622_mean,1
Amygdala,Eigengene_3,ng_RAS_060622_mean,1
Amygdala,Eigengene_3,qiv_RAS_060622_mean,1
Amygdala,Eigengene_3,rd_mean,1
Amygdala,Eigengene_3,rtap_RAS_060622_mean,1
Amygdala,Eigengene_3,rtop_RAS_060622_mean,1
Amygdala,Eigengene_3,rtpp_RAS_060622_mean,1
Amygdala,Eigengene_3,volume_percentage_mean,1
Amygdala,Eigengene_4,b0_mean,1
Amygdala,Eigengene_4,mrtrixad_mean,1
Amygdala,Eigengene_4,mrtrixfa_mean,1
Amygdala,Eigengene_4,mrtrixmd_mean,1
Amygdala,Eigengene_4,mrtrixrd_mean,1
Amygdala,Eigengene_4,msd_RAS_060622_mean,1
Amygdala,Eigengene_4,ng_RAS_060622_mean,1
Amygdala,Eigengene_4,qiv_RAS_060622_mean,1
Amygdala,Eigengene_4,rd_mean,1
Amygdala,Eigengene_4,rtap_RAS_060622_mean,1
Amygdala,Eigengene_4,rtop_RAS_060622_mean,1
Amygdala,Eigengene_4,rtpp_RAS_060622_mean,1
Amygdala,Eigengene_4,volume_mm3,1
Amygdala,Eigengene_4,volume_percentage_mean,1
Amygdala,Eigengene_5,b0_mean,1
Amygdala,Eigengene_5,msd_RAS_060622_mean,1
Amygdala,Eigengene_5,ng_RAS_060622_mean,1
Amygdala,Eigengene_5,qiv_RAS_060622_mean,1
Amygdala,Eigengene_5,rtap_RAS_060622_mean,1
Amygdala,Eigengene_5,rtop_RAS_060622_mean,1
Amygdala,Eigengene_5,rtpp_RAS_060622_mean,1
Amygdala,Eigengene_5,volume_mm3,1
Amygdala,Eigengene_6,mrtrixfa_mean,1
Amygdala,Eigengene_6,rd_mean,1
Amygdala,Eigengene_6,volume_mm3,1
Amygdala,Eigengene_6,volume_percentage_mean,1
Amygdala,Eigengene_7,mrtrixfa_mean,1
Amygdala,Eigengene_7,msd_RAS_060622_mean,1
Amygdala,Eigengene_7,ng_RAS_060622_mean,1
Amygdala,Eigengene_7,qiv_RAS_060622_mean,1
Amygdala,Eigengene_7,rtap_RAS_060622_mean,1
Amygdala,Eigengene_7,rtop_RAS_060622_mean,1
Amygdala,Eigengene_7,rtpp_RAS_060622_mean,1
Amygdala,Eigengene_7,volume_mm3,1
Amygdala,Eigengene_7,volume_percentage_mean,1
Amygdala,Eigengene_8,mrtrixfa_mean,1
Amygdala,Eigengene_8,msd_RAS_060622_mean,1
Amygdala,Eigengene_8,ng_RAS_060622_mean,1
Amygdala,Eigengene_8,qiv_RAS_060622_mean,1
Amygdala,Eigengene_8,rd_mean,1
Amygdala,Eigengene_8,rtap_RAS_060622_mean,1
Amygdala,Eigengene_8,rtop_RAS_060622_mean,1
Amygdala,Eigengene_8,rtpp_RAS_060622_mean,1
Amygdala,Eigengene_8,volume_mm3,1
Amygdala,Eigengene_8,volume_percentage_mean,1
Amygdala,Eigengene_9,msd_RAS_060622_mean,1
Amygdala,Eigengene_9,qiv_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_1,b0_mean,1
Amygdalopiriform_Transition_Area,Eigengene_1,msd_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_1,ng_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_1,rd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_1,rtap_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_1,rtop_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_1,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_10,mrtrixrd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_10,msd_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_10,ng_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_10,rtap_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_10,rtop_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_10,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_10,volume_mm3,1
Amygdalopiriform_Transition_Area,Eigengene_2,b0_mean,1
Amygdalopiriform_Transition_Area,Eigengene_2,msd_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_2,ng_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_2,rd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_2,rtap_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_2,rtop_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_2,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_2,volume_mm3,1
Amygdalopiriform_Transition_Area,Eigengene_2,volume_percentage_mean,1
Amygdalopiriform_Transition_Area,Eigengene_3,b0_mean,1
Amygdalopiriform_Transition_Area,Eigengene_3,ng_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_3,rd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_3,rtap_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_3,rtop_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_3,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_3,volume_mm3,1
Amygdalopiriform_Transition_Area,Eigengene_3,volume_percentage_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,b0_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,mrtrixfa_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,mrtrixrd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,msd_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,ng_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,rd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,rtap_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,rtop_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_4,volume_mm3,1
Amygdalopiriform_Transition_Area,Eigengene_4,volume_percentage_mean,1
Amygdalopiriform_Transition_Area,Eigengene_5,b0_mean,1
Amygdalopiriform_Transition_Area,Eigengene_5,mrtrixfa_mean,1
Amygdalopiriform_Transition_Area,Eigengene_5,msd_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_5,ng_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_5,rtap_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_5,rtop_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_5,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_5,volume_mm3,1
Amygdalopiriform_Transition_Area,Eigengene_5,volume_percentage_mean,1
Amygdalopiriform_Transition_Area,Eigengene_6,b0_mean,1
Amygdalopiriform_Transition_Area,Eigengene_6,mrtrixrd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_6,rd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_6,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_7,mrtrixrd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_7,msd_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_7,rtap_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_7,rtop_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_7,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_8,mrtrixrd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_8,msd_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_8,qiv_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_8,rd_mean,1
Amygdalopiriform_Transition_Area,Eigengene_8,rtap_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_8,rtop_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_8,rtpp_RAS_060622_mean,1
Amygdalopiriform_Transition_Area,Eigengene_8,volume_mm3,1
Amygdalopiriform_Transition_Area,Eigengene_8,volume_percentage_mean,1
Amygdalopiriform_Transition_Area,Eigengene_9,mrtrixfa_mean,1
Amygdalopiriform_Transition_Area,Eigengene_9,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_1,b0_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_1,msd_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_1,ng_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_1,qiv_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_1,rd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_1,rtap_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_1,rtop_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_1,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_10,msd_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_10,ng_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_10,qiv_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_10,rd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_10,rtap_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_10,rtop_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_10,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_10,volume_mm3,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,b0_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,mrtrixad_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,mrtrixfa_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,mrtrixmd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,mrtrixrd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,msd_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,ng_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,qiv_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,rd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,rtap_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,rtop_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_2,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,b0_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,mrtrixad_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,mrtrixfa_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,mrtrixmd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,mrtrixrd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,msd_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,ng_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,qiv_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,rd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,rtap_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,rtop_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_3,volume_percentage_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,b0_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,mrtrixad_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,mrtrixfa_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,mrtrixmd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,mrtrixrd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,msd_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,ng_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,qiv_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,rd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,rtap_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,rtop_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,volume_mm3,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_4,volume_percentage_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,b0_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,mrtrixad_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,mrtrixmd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,mrtrixrd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,msd_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,ng_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,qiv_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,rtap_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,rtop_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,volume_mm3,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_5,volume_percentage_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_6,mrtrixad_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_6,mrtrixfa_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_6,mrtrixmd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_6,mrtrixrd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_6,rd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_7,msd_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_7,ng_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_7,qiv_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_7,rtap_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_7,rtop_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_7,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_7,volume_mm3,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_7,volume_percentage_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,mrtrixad_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,mrtrixfa_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,mrtrixmd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,mrtrixrd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,msd_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,ng_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,qiv_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,rd_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,rtap_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,rtop_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,rtpp_RAS_060622_mean,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_8,volume_mm3,1
Bed_Nucleus_of_the_Stria_Terminalis,Eigengene_9,mrtrixfa_mean,1
Brachium_of_Superior_Colliculus,Eigengene_1,b0_mean,1
Brachium_of_Superior_Colliculus,Eigengene_1,msd_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_1,ng_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_1,qiv_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_1,rtap_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_1,rtop_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_1,rtpp_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_10,mrtrixfa_mean,1
Brachium_of_Superior_Colliculus,Eigengene_10,msd_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_10,ng_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_10,rtap_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_10,rtop_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_10,rtpp_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,b0_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,mrtrixad_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,mrtrixmd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,mrtrixrd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,msd_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,ng_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,rd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,rtop_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,rtpp_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_2,volume_mm3,1
Brachium_of_Superior_Colliculus,Eigengene_2,volume_percentage_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,b0_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,mrtrixad_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,mrtrixmd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,mrtrixrd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,msd_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,ng_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,qiv_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,rd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,rtap_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,rtop_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,rtpp_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_3,volume_percentage_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,b0_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,mrtrixad_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,mrtrixfa_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,mrtrixmd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,mrtrixrd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,msd_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,ng_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,qiv_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,rd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,rtap_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,rtop_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,rtpp_RAS_060622_mean,1
Brachium_of_Superior_Colliculus,Eigengene_4,volume_percentage_mean,1
Brachium_of_Superior_Colliculus,Eigengene_5,b0_mean,1
Brachium_of_Superior_Colliculus,Eigengene_5,mrtrixad_mean,1
Brachium_of_Superior_Colliculus,Eigengene_5,mrtrixfa_mean,1
Brachium_of_Superior_Colliculus,Eigengene_5,mrtrixmd_mean,1
Brachium_of_Superior_Colliculus,Eigengene_5,msd_RAS_060622_mean,1
